Unit Code,Unit Description,,,,QTY,UOM,SUB RATES,Sub Total
F001,"INSTALL FIOS SERVICE - TRIPLE PLAY - TELEPHONE, INTERNET & VIDEO",,,,,SO,$154.00,$0.00
F002,"INSTALL FIOS SERVICE - DOUBLE PLAY - TELEPHONE AND INTERNET",,,,2,SO,$110.00,$220.00
F003,FTTP-INSTALL FIOS SERVICE - INTERNET & VIDEO,,,,,SO,$119.00,$0.00
F004,FTTP- INSTALL FIOS SERVICE - VIDEO ADD/RECONNECT,,,,,SO,$70.50,$0.00
F005,FTTP-INSTALL FIOS SERVICE - ADDITIONAL SET TOP BOX (STB),,,,,EA,$16.50,$0.00
F006,FTTP-INSTALL FIOS SERVICE - PLACE AERIAL DROP,,,,10,SPAN,$24.00,$240.00
F007,FTTP - INSTALL FIOS SERVICE - ADDITIONAL SPLICE DROP,,,,,SPLICE,$36.00,$0.00
F008,FTTP-FIOS TROUBLE TICKET,,,,,EA,$55.00,$0.00
F009,FTTP-FIOS TROUBLE TICKET - REFER TO MAINTENANCE,,,,1,EA,$36.00,$36.00
F010,FTTP-FIOS TROUBLE FOLLOW UP,,,,,EA,$23.50,$0.00
F011,FTTP-FIOS TRIP CHARGE,,,,1,EA,$24.00,$24.00
F012,FTTP-FIOS INSTALLATION - HOUR,,,,,HR,$35.00,$0.00
F014-1,FTTP-INSTALL FIOS SERVICE - INTERNET/DATA ONLY,,,,1,SO/LU,$118.00,$118.00
2-F014-1,FTTP-RECONNECT FIOS SERVICE - INTERNET/DATA,,,,,SO/LU,$79.50,$0.00
2-F014-2,FTTP-INSTALL FIOS SERVICES INTERNET/DATA ADD,,,,,SO/LU,$45.00,$0.00
F014-4,FTTP-SWAP/UPGRADE SET TOP BOX (STB) FOR FIOS SERVICE,,,,,SO/LU,$45.00,$0.00
1-F014-5,FTTP-INSTALL FIOS SERVICE FIRST ADDITIONAL JACK WITHOUT EXISTING WIRING,,,,2,EA,$37.00,$74.00
2-F014-5,FTTP-INSTALL FIOS SERVICE ADDITIONAL JACK WITHOUT EXISTING WIRING,,,,,EA,$19.00,$0.00
F014-6,FTTP-INSTALL FIOS SERVICE ADD/MOVE/REPLACE OPTICAL NETWORK TERMINAL (ONT),,,,,EA,$36.50,$0.00
F014-7,FTTP-INSTALL FIOS SERVICE REMOVE AERIAL DROP,,,,3,EA,$19.50,$58.50
F014-9,FTTP-INSTALL FIOS SERVICE TELEPHONE & VIDEO,,,,,SO/LU,$123.00,$0.00
F014-10,FTTP-INSTALL FIOS SERVICE PLACE UNDERGROUND DROP IN CONDUIT/DUCT,,,,,FT,$0.55,$0.00
F014-11,FTTP-INSTALL FIOS SERVICE PLACE VATS TERMINAL,,,,,EA,$26.50,$0.00
1-F014-12,FTTP-RECONNECT FIOS SERVICE TELEPHONE AND VIDEO,,,,,SO/LU,$83.00,$0.00
2-F014-12,FTTP-INSTALL FIOS SERVICE TELEPHONE & VIDEO ADD,,,,,SO/LU,$80.00,$0.00
F014-15,FTTP-INSTALL FIOS SERVICE MOVE ROUTER,,,,,SO,$28.00,$0.00
F014-16,FTTP-INSTALL FIOS SERVICE RECONFIGURE COMPUTER,,,,,SO,$33.50,$0.00
F014-17,BBU TROUBLE,,,,,EA,$34.50,$0.00
F015,FTTP-RECONNECT/ADD FIOS SERVICE - TELEPHONE INTERNET VIDEO,,,,,SO,$109.00,$0.00
F016,FTTP-RECONNECT/ADD FIOS SERVICE - TELEPHONE AND INTERNET,,,,,SO,$74.00,$0.00
F017,FTTP-RECONNECT/ADD - FIOS SERVICE - INTERNET AND VIDEO,,,,,SO,$86.00,$0.00
F018,FTTP-RETRIEVAL - FIOS SERVICE VIDEO SET TOP BOX (STB),,,,,SO,$24.00,$0.00
F019,FTTP-INSTALL-FIOS SERVICE - TELEPHONE ONLY,,,,,SO,$82.00,$0.00
F020,FTTP-RECONNECT/ADD - FIOS SERVICE-TELEPHONE ONLY,,,,,SO,$56.00,$0.00
F021,FTTP-INSTALL FIOS SERVICE - VIDEO ONLY,,,,,SO,$98.00,$0.00
,Per Diem,,,,8,FT,$125.00,"$1,000.00"
,,,,,28,,,
,,,,,TOTAL,,,"$1,770.50"
"$2,270.50",,,,,,,,
,,,,,,,,
Tech Pay +$500 triage additional pay for WE 12/20/2025***,,,,,,,,